codigo,descricao,apelido
028133,028133- CANT. DE REFORÇO MÃO FRANCESA,028133- CANT. DE REFORÇO MÃO FRANCESA
028693,028693 - CALHA 200,028693 - CALHA 200
029733,029733 - FECHAMENTO CALHA 200 PARTE 2,029733 - FECHAMENTO CALHA 200 PARTE 2
029732,029732 - FECHAMENTO CALHA 200 PARTE 1,029732 - FECHAMENTO CALHA 200 PARTE 1
035980,035980 - OLHAL,035980 - OLHAL
027659,027659-orelha superior,027659-orelha superior
026842,026842 - BASE DA COLUNA,026842 - BASE DA COLUNA
028238,028238-ORELHA MAIOR,028238-ORELHA MAIOR
027560,027560- CANTONEIRA DO MANCAL,027560- CANTONEIRA DO MANCAL
028172,028172 - BASE DA COLUNA MENOR,028172 - BASE DA COLUNA MENOR
030743,030743 - FECHAMENTO,030743 - FECHAMENTO
030742,030742- CANTONEIRA DE FIXAÇÃO,030742- CANTONEIRA DE FIXAÇÃO
030193,030193 - CHAPA DE REFORÇO,030193 - CHAPA DE REFORÇO
027893,027893- BORBOLETA 50 X 50,027893- BORBOLETA 50 X 50
028187,028187- U DE APOIO SEM FUROS,028187- U DE APOIO SEM FUROS
027892,027892- CANTONEIRA DO MOTOREDUTOR,027892- CANTONEIRA DO MOTOREDUTOR
028164,028164- CHAPA DE REDUÇÃO ROLO MAIOR,028164- CHAPA DE REDUÇÃO ROLO MAIOR
029623,029623 - APOIO MENOR AJUSTE ALTURA,029623 - APOIO MENOR AJUSTE ALTURA
029621,029621 - ESTRUTURA AJUSTE ALTURA,029621 - ESTRUTURA AJUSTE ALTURA
027687,027687 - CHAPA DO ESTICADOR,027687 - CHAPA DO ESTICADOR
